spoke_id,spoke_name,spoke_type,nearest_candidate_hub_id,nearest_candidate_hub_name,nearest_candidate_hub_level,nearest_candidate_hub_ownership,nearest_candidate_hub_subregion,nearest_candidate_distance_km,nearest_candidate_distance_band,nearest_candidate_service_score,nearest_candidate_readiness
SPOKE_0147,Omoro HC III,existing_nbs,HF1868,Alebtong HC IV,HC IV,Government,LANGO,17.526,0_to_25_km,2,partial_hub_score_2
SPOKE_0148,Omoro HC III,existing_nbs,HF1868,Alebtong HC IV,HC IV,Government,LANGO,17.526,0_to_25_km,2,partial_hub_score_2
SPOKE_0032,Acowa HC III,existing_nbs,HF0966,Amuria HC IV,HC IV,Government,TESO,18.099,0_to_25_km,0,not_ready_score_0
SPOKE_0021,Olilim HC III,collocated_candidate_nbs,HF2375,Orum HC IV,HC IV,Government,LANGO,18.152,0_to_25_km,1,weak_hub_score_1
SPOKE_0033,Adwir HC II,existing_nbs,HF2375,Orum HC IV,HC IV,Government,LANGO,18.352,0_to_25_km,1,weak_hub_score_1
SPOKE_0112,Lokung HC III,existing_nbs,HF2190,Padibe HC IV,HC IV,Government,ACHOLI,18.787,0_to_25_km,1,weak_hub_score_1
SPOKE_0048,Atanga HC III,existing_nbs,HF2428,Pajule HC IV,HC IV,Government,ACHOLI,23.457,0_to_25_km,1,weak_hub_score_1
SPOKE_0015,Morungatuny HC III,collocated_candidate_nbs,HF0966,Amuria HC IV,HC IV,Government,TESO,23.801,0_to_25_km,0,not_ready_score_0
SPOKE_0020,Okwang HC III,collocated_candidate_nbs,HF2410,5Th Military Division HOSPITAL,General Hospital,Government,ACHOLI,24.565,0_to_25_km,0,not_ready_score_0
SPOKE_0043,Amuru HC III,existing_nbs,HF2353,Anaka HOSPITAL,General Hospital,Government,ACHOLI,24.627,0_to_25_km,4,full_hub_score_4
SPOKE_0010,Awere HC III,collocated_candidate_nbs,HF2410,5Th Military Division HOSPITAL,General Hospital,Government,ACHOLI,25.798,25_to_50_km,0,not_ready_score_0
SPOKE_0006,Alerek HC III,collocated_candidate_nbs,HF1769,Abim HOSPITAL,General Hospital,Government,KARAMOJA,31.81,25_to_50_km,2,partial_hub_score_2
SPOKE_0004,Akokoro HC III,collocated_candidate_nbs,HF1934,Apac HOSPITAL,General Hospital,Government,LANGO,34.968,25_to_50_km,4,full_hub_score_4
SPOKE_0136,Nakitoma HC III,existing_nbs,HF0720,Ngoma HC IV,HC IV,Government,NORTH BUGANDA,37.758,25_to_50_km,2,partial_hub_score_2
