spoke_id,spoke_name,spoke_type,nearest_candidate_hub_id,nearest_candidate_hub_name,nearest_candidate_hub_level,nearest_candidate_hub_ownership,nearest_candidate_hub_subregion,nearest_candidate_distance_km,nearest_candidate_distance_band,nearest_candidate_service_score,nearest_candidate_readiness
SPOKE_0054,Bugobero HC IV,existing_nbs,HF1483,Bugobero HC IV,HC IV,Government,BUGISU,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0055,Buikwe St. Charles Lwanga HOSPITAL,existing_nbs,HF0002,Buikwe St. Charles Lwanga HOSPITAL,General Hospital,Private Not For Profit,NORTH BUGANDA,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0057,Bukedea HC IV,existing_nbs,HF1065,Bukedea HC IV,HC IV,Government,TESO,0,0_to_25_km,0,not_ready_score_0
SPOKE_0058,Bumanya HC IV,existing_nbs,HF1281,Bumanya HC IV,HC IV,Government,BUSOGA,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0059,Busaru HC IV,existing_nbs,HF2494,Busaru HC IV,HC IV,Private Not For Profit,TORO,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0060,Busiu HC IV,existing_nbs,HF1530,Busiu HC IV,HC IV,Government,BUGISU,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0061,Busolwe HOSPITAL,existing_nbs,HF1125,Busolwe HOSPITAL,General Hospital,Government,BUKEDI,0,0_to_25_km,4,full_hub_score_4
SPOKE_0062,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,NR Hospital,Government,KAMPALA,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0063,Butebo HC IV,existing_nbs,HF1600,Butebo HC IV,HC IV,Government,BUKEDI,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0012,Buyinja  HC IV,collocated_candidate_nbs,HF1547,Buyinja HC IV,HC IV,Government,BUSOGA,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0066,Buyinja  HC IV,existing_nbs,HF1547,Buyinja HC IV,HC IV,Government,BUSOGA,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0068,Dabani HOSPITAL,existing_nbs,HF1113,Dabani HOSPITAL,General Hospital,Private Not For Profit,BUKEDI,0,0_to_25_km,4,full_hub_score_4
SPOKE_0069,Dokolo HC IV,existing_nbs,HF2019,Dokolo HC IV,HC IV,Government,LANGO,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0070,Fort Portal Regional Referral Hospital,existing_nbs,HF2806,Fort Portal Regional Referral Hospital,RR Hospital,Government,TORO,0,0_to_25_km,1,weak_hub_score_1
