scenario,scenario_label,spoke_id,spoke_name,spoke_type,existing_nbs,collocated_candidate_nbs,matched_facility_id,matched_facility_level,matched_district,point_longitude,point_latitude,hub_id,assigned_hub_name,assigned_hub_level,assigned_hub_ownership,assigned_hub_subregion,longitude,latitude,assigned_distance_km,assigned_distance_band,route_feasibility,route_feasibility_group,route_priority_flag,weak_or_long_route,long_route,very_long_route,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,assigned_hub_readiness_group,catchment_population,scd_admissions,scd_deaths,hbs_mean,pfpr_mean
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0081,Kalongo Ambrosoli Memorial HOSPITAL,existing_nbs,1,0,HF1831,General Hospital,AGAGO,33.43579,3.02789,HF1831,Kalongo Ambrosoli Memorial HOSPITAL,General Hospital,Private Not For Profit,ACHOLI,33.43579,3.02789,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,33544,1408,17,0.078423,0.440943
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0083,Kamuli HOSPITAL,existing_nbs,1,0,HF1312,General Hospital,KAMULI,33.12034,0.95039,HF1312,Kamuli HOSPITAL,General Hospital,Government,BUSOGA,33.12034,0.95039,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,196516,17,0,0.098284,0.362318
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0084,Kamuli Mission Hospital,existing_nbs,1,0,HF1313,General Hospital,KAMULI,33.12793,0.93169,HF1313,Kamuli Mission Hospital,General Hospital,Private Not For Profit,BUSOGA,33.12793,0.93169,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,160864,190,4,0.097706,0.355988
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0086,Kangulumira HC IV,existing_nbs,1,0,HF0298,HC IV,KAYUNGA,33.03127,0.58534,HF0298,Kangulumira HC IV,HC IV,Government,NORTH BUGANDA,33.03127,0.58534,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,109538,71,0,0.090342,0.220796
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0089,Katakwi General Hospital,existing_nbs,1,0,HF1375,General Hospital,KATAKWI,33.96227,1.92008,HF1375,Katakwi General Hospital,General Hospital,Government,TESO,33.96227,1.92008,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,0,1,3,0.25,strong_hub_score_3,strong_hub,111728,957,1,0.061564,0.483768
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0091,Kawolo HOSPITAL,existing_nbs,1,0,HF0007,General Hospital,BUIKWE,32.94508,0.36783,HF0007,Kawolo HOSPITAL,General Hospital,Government,NORTH BUGANDA,32.94508,0.36783,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,41558,711,12,0.087423,0.162392
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0092,Kayunga Hospital,existing_nbs,1,0,HF0304,General Hospital,KAYUNGA,32.90342,0.70353,HF0304,Kayunga Hospital,General Hospital,Government,NORTH BUGANDA,32.90342,0.70353,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,213826,1041,17,0.091807,0.288328
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0093,Kiboga HOSPITAL,existing_nbs,1,0,HF0327,General Hospital,KIBOGA,31.776151,0.913794,HF0327,Kiboga HOSPITAL,General Hospital,Government,NORTH BUGANDA,31.776151,0.913794,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,123578,65,4,0.065516,0.16593
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0095,Kibuli HOSPITAL,existing_nbs,1,0,HF0203,General Hospital,KAMPALA,32.595073,0.313056,HF0203,Kibuli HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.595073,0.313056,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,71046,17,1,0.076874,0.085271
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0096,Kidera HC IV,existing_nbs,1,0,HF1147,HC IV,BUYENDE,32.989,1.33687,HF1147,Kidera HC IV,HC IV,Government,BUSOGA,32.989,1.33687,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,111894,0,0,0.08849,0.327385
