hub_id,facility_id,hub_source_row_id,hub_name,hub_name_clean,hub_level,ownership,subregion,longitude,latitude,coordinate_valid,coordinate_source,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,eligible_primary_hub,eligible_strong_hub,eligible_full_hub,eligible_treatment_any_hub,eligible_transfusion_ready_hub,catchment_population,scd_admissions,scd_deaths,hbs_mean,pfpr_mean,master_name,master_name_clean,master_type,master_ownership,master_authority,master_status,master_region,master_district,master_county,master_subcounty,master_name_match_flag,no,facility_name,facility_type,cl,hu,nbs,tr,co_risk_product,hbs_minmax,pfpr_minmax,co_risk_additive_standardised,master_longitude,master_latitude,master_coordinate_valid
HF0283,HF0283,24,Namungoona Orthodox Hospital HC III,NAMUNGOONA ORTHODOX HOSPITAL HC III,General Hospital,Private Not For Profit,KAMPALA,32.54522,0.33817,TRUE,facilities_master_by_facility_id,0,0,0,0,0,1,not_ready_score_0,FALSE,FALSE,FALSE,FALSE,FALSE,503661,0,0,0.075615,0.099272,Namungoona Orthodox Hospital HC III,NAMUNGOONA ORTHODOX HOSPITAL HC III,General Hospital,Private Not For Profit,NA,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,24,Namungoona Orthodox Hospital HC III,General Hospital,0,0,0,0,0.00750645,0.67868765,0.1163326,0.39751012,32.54522,0.33817,TRUE
HF0290,HF0290,25,Bbaale HC IV,BBAALE HC IV,HC IV,Government,NORTH BUGANDA,32.88569,1.1056,TRUE,facilities_master_by_facility_id,0,0,0,0,0,1,not_ready_score_0,FALSE,FALSE,FALSE,FALSE,FALSE,29346,0,0,0.095513,0.311314,Bbaale HC IV,BBAALE HC IV,HC IV,Government,MOH,Functional,NA,KAYUNGA,BBAALE,BBAALE,exact_clean_name_match,25,Bbaale HC IV,HC IV,0,0,0,0,0.02973453,0.93064718,0.58607146,0.75835932,32.88569,1.1056,TRUE
HF0298,HF0298,26,Kangulumira HC IV,KANGULUMIRA HC IV,HC IV,Government,NORTH BUGANDA,33.03127,0.58534,TRUE,facilities_master_by_facility_id,0,0,1,1,2,0.5,partial_hub_score_2,TRUE,FALSE,FALSE,TRUE,TRUE,109538,71,0,0.090342,0.220796,Kangulumira HC IV,KANGULUMIRA HC IV,HC IV,Government,MOH,Functional,NA,KAYUNGA,NTENJERU,KANGULUMIRA,exact_clean_name_match,26,Kangulumira HC IV,HC IV,0,0,1,1,0.01994715,0.86516911,0.38554599,0.62535755,33.03127,0.58534,TRUE
HF0304,HF0304,27,Kayunga Hospital,KAYUNGA HOSPITAL,General Hospital,Government,NORTH BUGANDA,32.90342,0.70353,TRUE,facilities_master_by_facility_id,1,1,1,1,4,0,full_hub_score_4,TRUE,TRUE,TRUE,TRUE,TRUE,213826,1041,17,0.091807,0.288328,Kayunga Hospital,KAYUNGA HOSPITAL,General Hospital,Government,MOH,Functional,NA,KAYUNGA,NTENJERU,KAYUNGA TOWN COUNCIL,exact_clean_name_match,27,Kayunga Hospital,General Hospital,1,1,1,1,0.02647053,0.88371975,0.53515033,0.70943504,32.90342,0.70353,TRUE
HF0316,HF0316,28,Bukomero HC IV,BUKOMERO HC IV,HC IV,Government,NORTH BUGANDA,32.03981,0.6907,TRUE,facilities_master_by_facility_id,1,1,0,0,2,0.5,partial_hub_score_2,TRUE,FALSE,FALSE,TRUE,FALSE,86711,0,0,0.068178,0.152059,Bukomero HC IV,BUKOMERO HC IV,HC IV,Government,MOH,Functional,NA,KIBOGA,KIBOGA,BUKOMERO TOWN COUNCIL,exact_clean_name_match,28,Bukomero HC IV,HC IV,1,1,0,0,0.01036708,0.58451623,0.23327219,0.40889421,32.03981,0.6907,TRUE
HF0327,HF0327,29,Kiboga HOSPITAL,KIBOGA HOSPITAL,General Hospital,Government,NORTH BUGANDA,31.776151,0.913794,TRUE,facilities_master_by_facility_id,1,0,1,1,3,0.25,strong_hub_score_3,TRUE,TRUE,FALSE,TRUE,TRUE,123578,65,4,0.065516,0.16593,Kiboga HOSPITAL,KIBOGA HOSPITAL,General Hospital,Government,MOH,Functional,NA,KIBOGA,KIBOGA,KIBOGA TOWN COUNCIL,exact_clean_name_match,29,Kiboga HOSPITAL,General Hospital,1,0,1,1,0.01087107,0.5508085,0.26400076,0.40740463,31.776151,0.913794,TRUE
HF0354,HF0354,30,Ntwetwe HC IV,NTWETWE HC IV,HC IV,Government,NORTH BUGANDA,31.58917,0.94932,TRUE,facilities_master_by_facility_id,0,0,0,0,0,1,not_ready_score_0,FALSE,FALSE,FALSE,FALSE,FALSE,120014,0,0,0.060245,0.181578,Ntwetwe HC IV,NTWETWE HC IV,HC IV,Government,MOH,Functional,NA,KYANKWANZI,KIBOGA,NTWETWE TOWN COUNCIL,exact_clean_name_match,30,Ntwetwe HC IV,HC IV,0,0,0,0,0.01093917,0.48406417,0.29866594,0.39136506,31.58917,0.94932,TRUE
HF0362,HF0362,31,Bombo General Military HOSPITAL,BOMBO GENERAL MILITARY HOSPITAL,General Hospital,Government,NORTH BUGANDA,32.53631,0.58475,TRUE,facilities_master_by_facility_id,0,0,0,1,1,0.75,weak_hub_score_1,FALSE,FALSE,FALSE,TRUE,TRUE,170628,148,5,0.078746,0.150044,Bombo General Military HOSPITAL,BOMBO GENERAL MILITARY HOSPITAL,General Hospital,Government,Army,Functional,NA,LUWERO,KATIKAMU,BOMBO TOWN COUNCIL,exact_clean_name_match,31,Bombo General Military HOSPITAL,General Hospital,0,0,0,1,0.01181536,0.71833411,0.22880834,0.47357123,32.53631,0.58475,TRUE
HF0376,HF0376,32,Kalagala HC IV,KALAGALA HC IV,HC IV,Government,NORTH BUGANDA,32.67677,0.5943,TRUE,facilities_master_by_facility_id,1,1,0,0,2,0.5,partial_hub_score_2,TRUE,FALSE,FALSE,TRUE,FALSE,68178,0,0,0.085063,0.175196,Kalagala HC IV,KALAGALA HC IV,HC IV,Government,MOH,Functional,NA,LUWERO,BAMUNANIKA,KALAGALA,exact_clean_name_match,32,Kalagala HC IV,HC IV,1,1,0,0,0.0149027,0.79832348,0.28452783,0.54142565,32.67677,0.5943,TRUE
HF0401,HF0401,33,Luwero HC IV,LUWERO HC IV,HC IV,Government,NORTH BUGANDA,32.606311,0.683861,TRUE,facilities_master_by_facility_id,0,0,0,0,0,1,not_ready_score_0,FALSE,FALSE,FALSE,FALSE,FALSE,138002,0,0,0.084107,0.191479,Luwero HC IV,LUWERO HC IV,HC IV,Government,MOH,Functional,NA,LUWERO,BAMUNANIKA,BAMUNANIKA,exact_clean_name_match,33,Luwero HC IV,HC IV,0,0,0,0,0.01610472,0.78621807,0.32059973,0.5534089,32.606311,0.683861,TRUE
