scenario,scenario_label,spoke_id,spoke_name,spoke_type,existing_nbs,collocated_candidate_nbs,matched_facility_id,matched_facility_level,matched_district,point_longitude,point_latitude,hub_id,assigned_hub_name,assigned_hub_level,assigned_hub_ownership,assigned_hub_subregion,longitude,latitude,assigned_distance_km,assigned_distance_band,route_feasibility,route_feasibility_group,route_priority_flag,weak_or_long_route,long_route,very_long_route,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,assigned_hub_readiness_group,catchment_population,scd_admissions,scd_deaths,hbs_mean,pfpr_mean
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0166,TASO Soroti CLINIC,existing_nbs,1,0,HF1692,Clinic,SOROTI,33.613078,1.716939,HF1698,Soroti REGIONAL REF HOSPITAL,RR Hospital,Government,TESO,33.61395,1.71849,0.197,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,245592,1167,61,0.081875,0.359608
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0152,Rakai Health Sciences Program CLINIC,existing_nbs,1,0,HF0776,Clinic,RAKAI,31.62173,-0.538174,HF0777,Kalisizo HOSPITAL,General Hospital,Government,SOUTH BUGANDA,31.62277,-0.53569,0.298,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,176754,149,5,0.057151,0.133475
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0163,TASO Gulu Clinic,existing_nbs,1,0,HF2058,Clinic,GULU,32.29921241,2.776660311,HF2067,Gulu Regional Referal Hospital,RR Hospital,Government,ACHOLI,32.29853,2.78069,0.452,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,214139,2371,11,0.09623,0.423448
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0121,Mbale REGIONAL REF HOSPITAL,existing_nbs,1,0,HF1536,RR Hospital,MBALE,34.175455,1.077161,HF1532,Cure Children's Hospital,General Hospital,Private Not For Profit,BUGISU,34.171724,1.073644,0.569,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,126686,5,72,0.075449,0.210671
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0065,Buwenge HC IV,existing_nbs,1,0,HF1237,HC IV,JINJA,33.16965,0.65229,HF1234,Buwenge NGO Hospital,General Hospital,Private Not For Profit,BUSOGA,33.17278,0.64781,0.605,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,195011,78,3,0.09558,0.313785
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0160,"St. Francis,  HC III",existing_nbs,1,0,HF0555,HC III,MITYANA,32.04851,0.40035,HF0550,Mityana HOSPITAL,General Hospital,Government,NORTH BUGANDA,32.04131,0.3978,0.849,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,129409,226,7,0.065065,0.133276
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0164,TASO Masaka CLINIC,existing_nbs,1,0,HF0490,Clinic,MASAKA,31.73638,-0.33921,HF0494,Masaka REGIONAL REF HOSPITAL,RR Hospital,Government,SOUTH BUGANDA,31.7344,-0.3294,1.107,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,159156,2603,32,0.058916,0.12859400000000001
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0129,Mulago National Hospital- MUJHU Clinic,existing_nbs,1,0,HF0219,Clinic,KAMPALA,32.578218,0.340195,HF0118,Kololo HOSPITAL,General Hospital,Private For Profit,KAMPALA,32.588224,0.336823,1.174,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,243967,711,12,0.077403,0.095929
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0165,TASO Mulago CLINIC,existing_nbs,1,0,HF0155,Clinic,KAMPALA,32.57737,0.34298,HF0118,Kololo HOSPITAL,General Hospital,Private For Profit,KAMPALA,32.588224,0.336823,1.386,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,243967,711,12,0.077403,0.095929
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0067,Charis HC III,existing_nbs,1,0,HF2231,HC III,LIRA,32.88631,2.2461,HF2222,PAG Mission HC IV,HC IV,Private Not For Profit,LANGO,32.89773,2.23864,1.514,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,274235,1818,3,0.093338,0.39047
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0037,Alive Medical Services HC III,existing_nbs,1,0,HF0209,HC II,KAMPALA,32.61026,0.30972,HF0203,Kibuli HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.595073,0.313056,1.73,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,71046,17,1,0.076874,0.085271
