spoke_id,candidate_facility_id,candidate_distance_km,spoke_name,spoke_type,assigned_hub_id,assigned_hub_name,assigned_distance_km,route_feasibility,facility_name,facility_level,ownership,subregion,longitude,latitude,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,eligible_primary_hub
SPOKE_0062,HF0283,12.6,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Namungoona Orthodox Hospital HC III,General Hospital,Private Not For Profit,KAMPALA,32.54522,0.33817,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0062,HF0678,11.3,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Mukono T.C. HC IV,HC IV,Government,KAMPALA,32.74702,0.36091,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0062,HF0698,19.6,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Kojja HC IV,HC IV,Government,KAMPALA,32.79638,0.20796,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0062,HF0873,24,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Buwambo HC IV,HC IV,Government,KAMPALA,32.54581,0.50131,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0062,HF0889,6.8,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Uganda Martyrs HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.653,0.37667,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0062,HF0921,18.9,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Saidina Abubakar Islamic HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.53495,0.43534,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0062,HF0926,14.6,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Kasangati HC IV,HC IV,Government,KAMPALA,32.60107,0.43513,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0062,HF0940,15.2,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Mildmay Uganda HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.548866,0.229957,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0062,HF0948,11.7,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Ndejje HC IV,HC IV,Government,KAMPALA,32.5789,0.24284,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0062,HF0957,21.8,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Wakiso HC IV,HC IV,Government,KAMPALA,32.4774,0.39639,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0069,HF1269,15.6,Dokolo HC IV,existing_nbs,HF2019,Dokolo HC IV,0,partial,Kaberamaido HC IV,HC IV,Government,TESO,33.16359,1.77863,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0071,HF0537,14.6,Gombe HOSPITAL,existing_nbs,HF0052,Gombe HOSPITAL,0,partial,Mwera HC IV,HC IV,Government,NORTH BUGANDA,32.12009,0.31608,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0071,HF0583,23.6,Gombe HOSPITAL,existing_nbs,HF0052,Gombe HOSPITAL,0,partial,Mpigi HC IV,HC IV,Government,SOUTH BUGANDA,32.32213,0.22554,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0071,HF0588,22.8,Gombe HOSPITAL,existing_nbs,HF0052,Gombe HOSPITAL,0,partial,Nkozi HOSPITAL,General Hospital,Private Not For Profit,SOUTH BUGANDA,32.01653,0.00257,1,0,0,1,2,0.5,partial_hub_score_2,TRUE
SPOKE_0079,HF0362,15.7,Kalagala HC IV,existing_nbs,HF0376,Kalagala HC IV,0,partial,Bombo General Military HOSPITAL,General Hospital,Government,NORTH BUGANDA,32.53631,0.58475,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0079,HF0401,12.6,Kalagala HC IV,existing_nbs,HF0376,Kalagala HC IV,0,partial,Luwero HC IV,HC IV,Government,NORTH BUGANDA,32.606311,0.683861,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0079,HF0402,7.8,Kalagala HC IV,existing_nbs,HF0376,Kalagala HC IV,0,partial,Bishop Asili Ceaser HC IV,HC IV,Private Not For Profit,NORTH BUGANDA,32.66096,0.663464,0,0,0,0,0,1,not_ready_score_0,FALSE
